id,name,calories,ingredients,cuisine,dietType,cookingTime,protein,fat,carbs,fiber,rating,instructions
11,"Homemade Chettinad Chicken #11",298,"Egg, Garlic, Potato, Basil, Chicken, Butter","Indian","Veg",54,6,26,69,5,4.9,"1. Start by prepping the Egg and Garlic. 2. Heat a large pan with some oil and sauté the Potato. 3. Add the Basil and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
12,"Traditional Baingan Bharta #12",875,"Basil, Bell Pepper, Beef, Potato","Indian","Veg",27,19,14,86,7,4.7,"1. Start by prepping the Basil and Bell Pepper. 2. Heat a large pan with some oil and sauté the Beef. 3. Add the Potato and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
13,"Healthy Vada Pav #13",785,"Turmeric, Garam Masala, Honey, Milk","Indian","Veg",39,23,9,32,9,4.4,"1. Start by prepping the Turmeric and Garam Masala. 2. Heat a large pan with some oil and sauté the Honey. 3. Add the Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 19 minutes. 5. Garnish with fresh herbs and serve warm."
14,"Gourmet Fish Curry #14",137,"Basil, Turmeric, Shrimp, Bell Pepper, Mushroom, Chicken, Yogurt, Ginger","Indian","Non-Veg",22,19,36,40,13,4.0,"1. Start by prepping the Basil and Turmeric. 2. Heat a large pan with some oil and sauté the Shrimp. 3. Add the Bell Pepper and cook until tender. 4. Mix in the remaining ingredients and simmer for 11 minutes. 5. Garnish with fresh herbs and serve warm."
15,"Chef's Special Kadai Chicken #15",726,"Onion, Carrot, Oregano, Chili","Indian","Non-Veg",36,31,17,60,4,4.4,"1. Start by prepping the Onion and Carrot. 2. Heat a large pan with some oil and sauté the Oregano. 3. Add the Chili and cook until tender. 4. Mix in the remaining ingredients and simmer for 18 minutes. 5. Garnish with fresh herbs and serve warm."
16,"Modern Twist Tandoori Chicken #16",536,"Cream, Olive Oil, Thyme, Mushroom","Indian","Non-Veg",45,33,5,82,5,3.8,"1. Start by prepping the Cream and Olive Oil. 2. Heat a large pan with some oil and sauté the Thyme. 3. Add the Mushroom and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
17,"Modern Twist Tandoori Chicken #17",400,"Lentils, Olive Oil, Ginger, Coriander, Butter, Cumin, Chicken","Indian","Non-Veg",51,41,30,69,10,4.2,"1. Start by prepping the Lentils and Olive Oil. 2. Heat a large pan with some oil and sauté the Ginger. 3. Add the Coriander and cook until tender. 4. Mix in the remaining ingredients and simmer for 25 minutes. 5. Garnish with fresh herbs and serve warm."
18,"Gourmet Tandoori Chicken #18",866,"Egg, Basil, Lamb, Honey, Pasta, Milk, Potato","Indian","Veg",18,12,22,60,13,3.7,"1. Start by prepping the Egg and Basil. 2. Heat a large pan with some oil and sauté the Lamb. 3. Add the Honey and cook until tender. 4. Mix in the remaining ingredients and simmer for 9 minutes. 5. Garnish with fresh herbs and serve warm."
19,"Classic Paneer Butter Masala #19",874,"Bell Pepper, Tomato, Coconut Milk, Cream","Indian","Veg",69,16,11,60,11,4.6,"1. Start by prepping the Bell Pepper and Tomato. 2. Heat a large pan with some oil and sauté the Coconut Milk. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
20,"Rustic Pav Bhaji #20",773,"Chicken, Paneer, Beans, Soy Sauce, Cheese, Lentils","Indian","Veg",66,22,11,36,9,4.3,"1. Start by prepping the Chicken and Paneer. 2. Heat a large pan with some oil and sauté the Beans. 3. Add the Soy Sauce and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
21,"Gourmet Prawn Balchao #21",873,"Carrot, Cumin, Chicken, Pasta","Indian","Veg",42,11,13,43,8,4.7,"1. Start by prepping the Carrot and Cumin. 2. Heat a large pan with some oil and sauté the Chicken. 3. Add the Pasta and cook until tender. 4. Mix in the remaining ingredients and simmer for 21 minutes. 5. Garnish with fresh herbs and serve warm."
22,"Spicy Prawn Balchao #22",443,"Basil, Thyme, Milk, Potato","Indian","Non-Veg",54,46,25,41,11,4.1,"1. Start by prepping the Basil and Thyme. 2. Heat a large pan with some oil and sauté the Milk. 3. Add the Potato and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
23,"Homemade Paneer Butter Masala #23",894,"Cumin, Carrot, Butter, Garam Masala","Indian","Veg",21,17,22,65,10,4.3,"1. Start by prepping the Cumin and Carrot. 2. Heat a large pan with some oil and sauté the Butter. 3. Add the Garam Masala and cook until tender. 4. Mix in the remaining ingredients and simmer for 10 minutes. 5. Garnish with fresh herbs and serve warm."
24,"Classic Hyderabadi Biryani #24",474,"Lamb, Soy Sauce, Yogurt, Thyme, Paneer, Beans, Garam Masala","Indian","Non-Veg",31,43,32,23,9,4.8,"1. Start by prepping the Lamb and Soy Sauce. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Thyme and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
25,"Chef's Special Pav Bhaji #25",135,"Bell Pepper, Lemon, Turmeric, Rice","Indian","Veg",26,14,17,26,4,4.9,"1. Start by prepping the Bell Pepper and Lemon. 2. Heat a large pan with some oil and sauté the Turmeric. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
26,"Classic Pav Bhaji #26",892,"Lentils, Rice, Olive Oil, Mushroom, Honey, Turmeric","Indian","Veg",35,21,18,59,5,3.5,"1. Start by prepping the Lentils and Rice. 2. Heat a large pan with some oil and sauté the Olive Oil. 3. Add the Mushroom and cook until tender. 4. Mix in the remaining ingredients and simmer for 17 minutes. 5. Garnish with fresh herbs and serve warm."
27,"Classic Fish Curry #27",391,"Tomato, Oregano, Potato, Olive Oil, Lemon, Soy Sauce, Carrot","Indian","Non-Veg",37,45,12,30,6,3.7,"1. Start by prepping the Tomato and Oregano. 2. Heat a large pan with some oil and sauté the Potato. 3. Add the Olive Oil and cook until tender. 4. Mix in the remaining ingredients and simmer for 18 minutes. 5. Garnish with fresh herbs and serve warm."
28,"Homemade Dhokla #28",509,"Ginger, Pork, Lamb, Garlic, Flour, Turmeric, Carrot","Indian","Non-Veg",38,38,15,20,3,4.4,"1. Start by prepping the Ginger and Pork. 2. Heat a large pan with some oil and sauté the Lamb. 3. Add the Garlic and cook until tender. 4. Mix in the remaining ingredients and simmer for 19 minutes. 5. Garnish with fresh herbs and serve warm."
29,"Modern Twist Hyderabadi Biryani #29",781,"Cream, Pasta, Olive Oil, Egg, Garlic","Indian","Veg",51,21,35,26,9,4.3,"1. Start by prepping the Cream and Pasta. 2. Heat a large pan with some oil and sauté the Olive Oil. 3. Add the Egg and cook until tender. 4. Mix in the remaining ingredients and simmer for 25 minutes. 5. Garnish with fresh herbs and serve warm."
30,"Spicy Palak Paneer #30",804,"Cheese, Garlic, Garam Masala, Mushroom, Sugar, Pasta, Lamb, Honey","Indian","Non-Veg",30,15,13,60,11,4.5,"1. Start by prepping the Cheese and Garlic. 2. Heat a large pan with some oil and sauté the Garam Masala. 3. Add the Mushroom and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
31,"Classic Mutter Paneer #31",344,"Thyme, Spinach, Pork, Mushroom, Butter","Indian","Non-Veg",44,47,18,68,9,3.8,"1. Start by prepping the Thyme and Spinach. 2. Heat a large pan with some oil and sauté the Pork. 3. Add the Mushroom and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
32,"Homemade Kadai Chicken #32",890,"Rice, Cumin, Yogurt, Chicken, Garlic, Sugar, Ginger, Chili","Indian","Non-Veg",57,17,32,50,7,4.5,"1. Start by prepping the Rice and Cumin. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Chicken and cook until tender. 4. Mix in the remaining ingredients and simmer for 28 minutes. 5. Garnish with fresh herbs and serve warm."
33,"Spicy Palak Paneer #33",642,"Coriander, Chili, Pasta, Butter, Rice, Lentils, Thyme, Egg","Indian","Non-Veg",23,34,12,54,7,4.0,"1. Start by prepping the Coriander and Chili. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Butter and cook until tender. 4. Mix in the remaining ingredients and simmer for 11 minutes. 5. Garnish with fresh herbs and serve warm."
34,"Healthy Lamb Vindaloo #34",853,"Coconut Milk, Cream, Beans, Bell Pepper, Honey, Turmeric","Indian","Veg",58,5,6,71,10,4.6,"1. Start by prepping the Coconut Milk and Cream. 2. Heat a large pan with some oil and sauté the Beans. 3. Add the Bell Pepper and cook until tender. 4. Mix in the remaining ingredients and simmer for 29 minutes. 5. Garnish with fresh herbs and serve warm."
35,"Chef's Special Vada Pav #35",159,"Yogurt, Cheese, Cream, Coconut Milk","Indian","Veg",55,12,17,33,2,4.2,"1. Start by prepping the Yogurt and Cheese. 2. Heat a large pan with some oil and sauté the Cream. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
36,"Quick Rogan Josh #36",135,"Garam Masala, Beef, Basil, Cream, Chili, Bell Pepper, Lentils, Carrot","Indian","Veg",26,19,24,56,10,4.9,"1. Start by prepping the Garam Masala and Beef. 2. Heat a large pan with some oil and sauté the Basil. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
37,"Quick Chettinad Chicken #37",885,"Turmeric, Beans, Soy Sauce, Oregano, Potato, Honey, Chicken, Shrimp","Indian","Non-Veg",68,48,11,29,9,4.4,"1. Start by prepping the Turmeric and Beans. 2. Heat a large pan with some oil and sauté the Soy Sauce. 3. Add the Oregano and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
38,"Chef's Special Tandoori Chicken #38",773,"Rice, Onion, Flour, Soy Sauce, Oregano","Indian","Veg",58,12,38,23,6,4.9,"1. Start by prepping the Rice and Onion. 2. Heat a large pan with some oil and sauté the Flour. 3. Add the Soy Sauce and cook until tender. 4. Mix in the remaining ingredients and simmer for 29 minutes. 5. Garnish with fresh herbs and serve warm."
39,"Gourmet Fish Curry #39",220,"Potato, Lamb, Beef, Chicken, Pasta","Indian","Non-Veg",31,18,30,80,13,4.6,"1. Start by prepping the Potato and Lamb. 2. Heat a large pan with some oil and sauté the Beef. 3. Add the Chicken and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
40,"Modern Twist Biryani #40",680,"Olive Oil, Butter, Pasta, Coconut Milk, Sugar","Indian","Non-Veg",56,32,18,28,3,4.9,"1. Start by prepping the Olive Oil and Butter. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 28 minutes. 5. Garnish with fresh herbs and serve warm."
41,"Chef's Special Samosa Chat #41",411,"Basil, Cumin, Turmeric, Lemon, Cream, Chicken, Pasta","Indian","Veg",55,11,24,84,11,5.0,"1. Start by prepping the Basil and Cumin. 2. Heat a large pan with some oil and sauté the Turmeric. 3. Add the Lemon and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
42,"Traditional Rogan Josh #42",687,"Pasta, Butter, Olive Oil, Mushroom, Bell Pepper, Thyme, Lentils","Indian","Non-Veg",16,46,37,24,8,3.5,"1. Start by prepping the Pasta and Butter. 2. Heat a large pan with some oil and sauté the Olive Oil. 3. Add the Mushroom and cook until tender. 4. Mix in the remaining ingredients and simmer for 8 minutes. 5. Garnish with fresh herbs and serve warm."
43,"Spicy Malai Kofta #43",746,"Paneer, Carrot, Garam Masala, Soy Sauce","Indian","Veg",60,23,34,26,9,3.9,"1. Start by prepping the Paneer and Carrot. 2. Heat a large pan with some oil and sauté the Garam Masala. 3. Add the Soy Sauce and cook until tender. 4. Mix in the remaining ingredients and simmer for 30 minutes. 5. Garnish with fresh herbs and serve warm."
44,"Chef's Special Aloo Gobi #44",603,"Turmeric, Paneer, Rice, Chicken, Olive Oil","Indian","Veg",18,5,34,35,11,4.3,"1. Start by prepping the Turmeric and Paneer. 2. Heat a large pan with some oil and sauté the Rice. 3. Add the Chicken and cook until tender. 4. Mix in the remaining ingredients and simmer for 9 minutes. 5. Garnish with fresh herbs and serve warm."
45,"Homemade Prawn Balchao #45",422,"Garam Masala, Cream, Honey, Shrimp, Garlic, Chicken, Potato, Coriander","Indian","Veg",64,22,10,75,9,3.6,"1. Start by prepping the Garam Masala and Cream. 2. Heat a large pan with some oil and sauté the Honey. 3. Add the Shrimp and cook until tender. 4. Mix in the remaining ingredients and simmer for 32 minutes. 5. Garnish with fresh herbs and serve warm."
46,"Gourmet Kadai Chicken #46",151,"Cheese, Honey, Coriander, Milk, Egg, Coconut Milk, Lemon, Beans","Indian","Non-Veg",35,16,24,50,11,4.3,"1. Start by prepping the Cheese and Honey. 2. Heat a large pan with some oil and sauté the Coriander. 3. Add the Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 17 minutes. 5. Garnish with fresh herbs and serve warm."
47,"Classic Butter Chicken #47",676,"Coconut Milk, Mushroom, Yogurt, Lamb, Lentils, Spinach, Cumin, Beans","Indian","Veg",27,5,7,40,5,4.7,"1. Start by prepping the Coconut Milk and Mushroom. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Lamb and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
48,"Homemade Aloo Gobi #48",408,"Mushroom, Beans, Shrimp, Lentils","Indian","Non-Veg",19,41,26,62,9,3.6,"1. Start by prepping the Mushroom and Beans. 2. Heat a large pan with some oil and sauté the Shrimp. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 9 minutes. 5. Garnish with fresh herbs and serve warm."
49,"Modern Twist Malai Kofta #49",671,"Beef, Yogurt, Pork, Tomato, Soy Sauce","Indian","Veg",49,12,32,30,7,4.7,"1. Start by prepping the Beef and Yogurt. 2. Heat a large pan with some oil and sauté the Pork. 3. Add the Tomato and cook until tender. 4. Mix in the remaining ingredients and simmer for 24 minutes. 5. Garnish with fresh herbs and serve warm."
50,"Rustic Samosa Chat #50",320,"Beef, Coconut Milk, Milk, Beans, Soy Sauce, Basil, Olive Oil","Indian","Non-Veg",44,43,8,69,13,3.6,"1. Start by prepping the Beef and Coconut Milk. 2. Heat a large pan with some oil and sauté the Milk. 3. Add the Beans and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
51,"Quick Butter Chicken #51",483,"Ginger, Garam Masala, Butter, Lemon, Tomato, Turmeric, Chicken","Indian","Veg",50,5,30,20,9,4.0,"1. Start by prepping the Ginger and Garam Masala. 2. Heat a large pan with some oil and sauté the Butter. 3. Add the Lemon and cook until tender. 4. Mix in the remaining ingredients and simmer for 25 minutes. 5. Garnish with fresh herbs and serve warm."
52,"Quick Dhokla #52",680,"Cream, Flour, Bell Pepper, Ginger, Thyme, Basil","Indian","Veg",49,14,11,59,7,4.9,"1. Start by prepping the Cream and Flour. 2. Heat a large pan with some oil and sauté the Bell Pepper. 3. Add the Ginger and cook until tender. 4. Mix in the remaining ingredients and simmer for 24 minutes. 5. Garnish with fresh herbs and serve warm."
53,"Rustic Kadai Chicken #53",898,"Rice, Mushroom, Soy Sauce, Honey, Carrot, Tomato","Indian","Veg",30,12,16,73,8,4.6,"1. Start by prepping the Rice and Mushroom. 2. Heat a large pan with some oil and sauté the Soy Sauce. 3. Add the Honey and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
54,"Quick Lamb Vindaloo #54",370,"Soy Sauce, Flour, Mushroom, Pork, Pasta","Indian","Non-Veg",55,18,17,86,12,5.0,"1. Start by prepping the Soy Sauce and Flour. 2. Heat a large pan with some oil and sauté the Mushroom. 3. Add the Pork and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
55,"Homemade Lamb Vindaloo #55",354,"Onion, Lemon, Pasta, Ginger, Chili, Cumin","Indian","Veg",37,16,33,40,3,5.0,"1. Start by prepping the Onion and Lemon. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Ginger and cook until tender. 4. Mix in the remaining ingredients and simmer for 18 minutes. 5. Garnish with fresh herbs and serve warm."
56,"Traditional Prawn Balchao #56",288,"Garam Masala, Soy Sauce, Basil, Lentils, Potato","Indian","Non-Veg",69,37,39,55,9,4.3,"1. Start by prepping the Garam Masala and Soy Sauce. 2. Heat a large pan with some oil and sauté the Basil. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
57,"Gourmet Kadai Chicken #57",833,"Soy Sauce, Onion, Yogurt, Coconut Milk, Turmeric","Indian","Non-Veg",57,19,34,73,12,3.8,"1. Start by prepping the Soy Sauce and Onion. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Coconut Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 28 minutes. 5. Garnish with fresh herbs and serve warm."
58,"Healthy Dal Makhani #58",540,"Spinach, Flour, Potato, Lentils, Pasta, Cheese","Indian","Veg",67,14,35,49,9,3.6,"1. Start by prepping the Spinach and Flour. 2. Heat a large pan with some oil and sauté the Potato. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
59,"Modern Twist Aloo Gobi #59",409,"Tomato, Oregano, Flour, Garam Masala, Cream, Mushroom, Pork","Indian","Veg",63,9,11,55,10,3.6,"1. Start by prepping the Tomato and Oregano. 2. Heat a large pan with some oil and sauté the Flour. 3. Add the Garam Masala and cook until tender. 4. Mix in the remaining ingredients and simmer for 31 minutes. 5. Garnish with fresh herbs and serve warm."
60,"Spicy Prawn Balchao #60",714,"Mushroom, Butter, Flour, Thyme, Cumin, Yogurt","Indian","Veg",63,12,16,58,10,4.6,"1. Start by prepping the Mushroom and Butter. 2. Heat a large pan with some oil and sauté the Flour. 3. Add the Thyme and cook until tender. 4. Mix in the remaining ingredients and simmer for 31 minutes. 5. Garnish with fresh herbs and serve warm."
61,"Gourmet Pani Puri #61",781,"Garam Masala, Lentils, Coriander, Potato, Coconut Milk","Indian","Non-Veg",37,35,19,28,6,4.7,"1. Start by prepping the Garam Masala and Lentils. 2. Heat a large pan with some oil and sauté the Coriander. 3. Add the Potato and cook until tender. 4. Mix in the remaining ingredients and simmer for 18 minutes. 5. Garnish with fresh herbs and serve warm."
62,"Chef's Special Fish Curry #62",312,"Beans, Coconut Milk, Yogurt, Lentils, Paneer, Garam Masala, Pasta, Milk","Indian","Veg",27,15,14,48,8,4.1,"1. Start by prepping the Beans and Coconut Milk. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
63,"Classic Malai Kofta #63",141,"Turmeric, Pork, Lentils, Milk","Indian","Veg",74,13,18,84,10,4.4,"1. Start by prepping the Turmeric and Pork. 2. Heat a large pan with some oil and sauté the Lentils. 3. Add the Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 37 minutes. 5. Garnish with fresh herbs and serve warm."
64,"Traditional Lamb Vindaloo #64",262,"Yogurt, Carrot, Thyme, Garam Masala, Olive Oil","Indian","Veg",68,6,13,62,12,4.9,"1. Start by prepping the Yogurt and Carrot. 2. Heat a large pan with some oil and sauté the Thyme. 3. Add the Garam Masala and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
65,"Traditional Malai Kofta #65",423,"Pasta, Oregano, Cream, Egg, Carrot, Coconut Milk","Indian","Non-Veg",64,25,9,89,7,3.8,"1. Start by prepping the Pasta and Oregano. 2. Heat a large pan with some oil and sauté the Cream. 3. Add the Egg and cook until tender. 4. Mix in the remaining ingredients and simmer for 32 minutes. 5. Garnish with fresh herbs and serve warm."
66,"Gourmet Chettinad Chicken #66",797,"Onion, Cream, Garlic, Rice","Indian","Veg",20,12,27,43,9,3.9,"1. Start by prepping the Onion and Cream. 2. Heat a large pan with some oil and sauté the Garlic. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 10 minutes. 5. Garnish with fresh herbs and serve warm."
67,"Chef's Special Palak Paneer #67",552,"Yogurt, Milk, Tomato, Lamb, Butter, Pork, Thyme, Carrot","Indian","Non-Veg",39,48,11,26,3,3.5,"1. Start by prepping the Yogurt and Milk. 2. Heat a large pan with some oil and sauté the Tomato. 3. Add the Lamb and cook until tender. 4. Mix in the remaining ingredients and simmer for 19 minutes. 5. Garnish with fresh herbs and serve warm."
68,"Rustic Rogan Josh #68",145,"Beef, Pork, Mushroom, Chili, Shrimp, Coconut Milk, Garam Masala, Tomato","Indian","Veg",51,7,9,77,7,4.9,"1. Start by prepping the Beef and Pork. 2. Heat a large pan with some oil and sauté the Mushroom. 3. Add the Chili and cook until tender. 4. Mix in the remaining ingredients and simmer for 25 minutes. 5. Garnish with fresh herbs and serve warm."
69,"Classic Vada Pav #69",883,"Thyme, Onion, Lamb, Bell Pepper, Coconut Milk, Sugar, Pasta","Indian","Veg",29,22,5,69,5,4.7,"1. Start by prepping the Thyme and Onion. 2. Heat a large pan with some oil and sauté the Lamb. 3. Add the Bell Pepper and cook until tender. 4. Mix in the remaining ingredients and simmer for 14 minutes. 5. Garnish with fresh herbs and serve warm."
70,"Healthy Aloo Gobi #70",836,"Milk, Honey, Oregano, Beef","Indian","Veg",56,17,23,50,3,3.6,"1. Start by prepping the Milk and Honey. 2. Heat a large pan with some oil and sauté the Oregano. 3. Add the Beef and cook until tender. 4. Mix in the remaining ingredients and simmer for 28 minutes. 5. Garnish with fresh herbs and serve warm."
71,"Traditional Fish Curry #71",355,"Lemon, Lentils, Yogurt, Rice","Indian","Non-Veg",25,16,13,30,4,4.8,"1. Start by prepping the Lemon and Lentils. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 12 minutes. 5. Garnish with fresh herbs and serve warm."
72,"Gourmet Hyderabadi Biryani #72",469,"Coconut Milk, Thyme, Chicken, Rice, Paneer, Shrimp, Chili, Beans","Indian","Veg",36,20,10,76,9,3.6,"1. Start by prepping the Coconut Milk and Thyme. 2. Heat a large pan with some oil and sauté the Chicken. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 18 minutes. 5. Garnish with fresh herbs and serve warm."
73,"Homemade Pani Puri #73",595,"Honey, Olive Oil, Garlic, Lentils, Ginger","Indian","Veg",59,17,14,20,10,3.9,"1. Start by prepping the Honey and Olive Oil. 2. Heat a large pan with some oil and sauté the Garlic. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 29 minutes. 5. Garnish with fresh herbs and serve warm."
74,"Spicy Paneer Butter Masala #74",719,"Basil, Potato, Pasta, Cream, Yogurt, Flour","Indian","Veg",30,20,26,68,4,3.7,"1. Start by prepping the Basil and Potato. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
75,"Quick Pani Puri #75",451,"Garlic, Pork, Tomato, Cheese, Shrimp, Egg, Cream, Pasta","Indian","Non-Veg",71,38,9,55,10,4.3,"1. Start by prepping the Garlic and Pork. 2. Heat a large pan with some oil and sauté the Tomato. 3. Add the Cheese and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
